X,Y,Point,RaceName,SourceYear
-9017.22685261547,-5002.490480743889,326,Azerbaijan Grand Prix,2025
-9027.0,-5010.0,327,Azerbaijan Grand Prix,2025
-9121.0,-5082.0,328,Azerbaijan Grand Prix,2025
-9186.671904168834,-5131.642234084237,329,Azerbaijan Grand Prix,2025
-9228.0,-5163.0,330,Azerbaijan Grand Prix,2025
-9314.0,-5229.0,331,Azerbaijan Grand Prix,2025
-9345.367886665708,-5252.888541812498,332,Azerbaijan Grand Prix,2025
-9525.0,-5389.0,333,Azerbaijan Grand Prix,2025
-9624.874984957527,-5465.4383428568735,334,Azerbaijan Grand Prix,2025
-9653.0,-5487.0,335,Azerbaijan Grand Prix,2025
-9765.36547038634,-5572.556179932462,336,Azerbaijan Grand Prix,2025
-9811.0,-5607.0,337,Azerbaijan Grand Prix,2025
-9981.778756627147,-5735.102494854334,338,Azerbaijan Grand Prix,2025
-10031.0,-5772.0,339,Azerbaijan Grand Prix,2025
-10097.746564497356,-5822.123390956933,340,Azerbaijan Grand Prix,2025
-10209.899351985663,-5908.172279634083,341,Azerbaijan Grand Prix,2025
-10216.0,-5913.0,342,Azerbaijan Grand Prix,2025
-10333.0,-6007.0,343,Azerbaijan Grand Prix,2025
-10333.342354209512,-6007.276743659566,344,Azerbaijan Grand Prix,2025
-10386.488652242275,-6050.283216471494,345,Azerbaijan Grand Prix,2025
-10411.0,-6070.0,346,Azerbaijan Grand Prix,2025
-10456.724964965035,-6106.293552216145,347,Azerbaijan Grand Prix,2025
-10477.0,-6122.0,348,Azerbaijan Grand Prix,2025
-10518.0,-6152.0,349,Azerbaijan Grand Prix,2025
-10544.97737135096,-6169.559912849686,350,Azerbaijan Grand Prix,2025
-10597.0,-6201.0,351,Azerbaijan Grand Prix,2025
-10617.233784439877,-6211.754041028407,352,Azerbaijan Grand Prix,2025
-10632.0,-6218.0,353,Azerbaijan Grand Prix,2025
-10648.048808848544,-6225.409813760143,354,Azerbaijan Grand Prix,2025
-10691.0,-6237.0,355,Azerbaijan Grand Prix,2025
-10712.340729919119,-6237.557802700255,356,Azerbaijan Grand Prix,2025
-10754.0,-6235.0,357,Azerbaijan Grand Prix,2025
-10790.730962437203,-6225.258735078191,358,Azerbaijan Grand Prix,2025
-10809.0,-6205.0,359,Azerbaijan Grand Prix,2025
-10818.411636415472,-6196.200590503831,360,Azerbaijan Grand Prix,2025
-10831.0,-6184.0,361,Azerbaijan Grand Prix,2025
-10842.349084804919,-6170.955678237655,362,Azerbaijan Grand Prix,2025
-10853.0,-6156.0,363,Azerbaijan Grand Prix,2025
-10902.0,-6067.0,364,Azerbaijan Grand Prix,2025
-10902.1010547814,-6066.79844639912,365,Azerbaijan Grand Prix,2025
-10919.0,-6027.0,366,Azerbaijan Grand Prix,2025
-10930.240411506053,-5996.624291062331,367,Azerbaijan Grand Prix,2025
-10966.0,-5897.0,368,Azerbaijan Grand Prix,2025
-10966.139446899537,-5896.596924300936,369,Azerbaijan Grand Prix,2025
-11000.040704749075,-5793.196364603708,370,Azerbaijan Grand Prix,2025
-11013.0,-5751.0,371,Azerbaijan Grand Prix,2025
-11020.788935429538,-5724.725831592491,372,Azerbaijan Grand Prix,2025
-11041.0,-5655.0,373,Azerbaijan Grand Prix,2025
-11053.244089009724,-5614.261719796379,374,Azerbaijan Grand Prix,2025
-11069.0,-5561.0,375,Azerbaijan Grand Prix,2025
-11092.0,-5479.0,376,Azerbaijan Grand Prix,2025
-11095.285912158024,-5467.559935299509,377,Azerbaijan Grand Prix,2025
-11142.094093075748,-5311.032155427174,378,Azerbaijan Grand Prix,2025
-11147.0,-5295.0,379,Azerbaijan Grand Prix,2025
-11187.504887156587,-5163.685932438545,380,Azerbaijan Grand Prix,2025
-11197.0,-5133.0,381,Azerbaijan Grand Prix,2025
-11222.626813943352,-5050.313368245613,382,Azerbaijan Grand Prix,2025
-11243.0,-4983.0,383,Azerbaijan Grand Prix,2025
-11301.510884628628,-4787.776567099587,384,Azerbaijan Grand Prix,2025
-11305.0,-4776.0,385,Azerbaijan Grand Prix,2025
-11339.077999491106,-4658.354436698739,386,Azerbaijan Grand Prix,2025
-11341.0,-4652.0,387,Azerbaijan Grand Prix,2025
-11364.0,-4577.0,388,Azerbaijan Grand Prix,2025
-11384.60353678976,-4507.385819768372,389,Azerbaijan Grand Prix,2025
-11399.0,-4463.0,390,Azerbaijan Grand Prix,2025
-11419.628999097855,-4411.984730821686,391,Azerbaijan Grand Prix,2025
-11466.126197200496,-4350.534735176543,392,Azerbaijan Grand Prix,2025
-11473.0,-4345.0,393,Azerbaijan Grand Prix,2025
-11495.157673158374,-4331.482830317597,394,Azerbaijan Grand Prix,2025
-11548.0,-4310.0,395,Azerbaijan Grand Prix,2025
-11564.96675172231,-4303.013177772305,396,Azerbaijan Grand Prix,2025
-11706.0,-4246.0,397,Azerbaijan Grand Prix,2025
-11785.457046257625,-4220.256074981504,398,Azerbaijan Grand Prix,2025
-11845.0,-4206.0,399,Azerbaijan Grand Prix,2025
-11886.119127932257,-4198.311068501017,400,Azerbaijan Grand Prix,2025
-11927.0,-4193.0,401,Azerbaijan Grand Prix,2025
-11934.843039672329,-4192.142069021161,402,Azerbaijan Grand Prix,2025
-12048.0,-4182.0,403,Azerbaijan Grand Prix,2025
-12048.683744215365,-4181.944223356063,404,Azerbaijan Grand Prix,2025
-12098.0,-4178.0,405,Azerbaijan Grand Prix,2025
-12198.872412707486,-4168.71053664444,406,Azerbaijan Grand Prix,2025
-12213.0,-4167.0,407,Azerbaijan Grand Prix,2025
-12311.0,-4145.0,408,Azerbaijan Grand Prix,2025
-12320.654541012933,-4141.99720427662,409,Azerbaijan Grand Prix,2025
-12363.0,-4126.0,410,Azerbaijan Grand Prix,2025
-12404.570785896814,-4103.5069096050565,411,Azerbaijan Grand Prix,2025
-12436.0,-4084.0,412,Azerbaijan Grand Prix,2025
-12450.847413671076,-4073.7436239562257,413,Azerbaijan Grand Prix,2025
-12492.602478120496,-4022.9431364137577,414,Azerbaijan Grand Prix,2025
-12495.0,-4019.0,415,Azerbaijan Grand Prix,2025
-12503.0,-4005.0,416,Azerbaijan Grand Prix,2025
-12524.531753101546,-3928.042954154918,417,Azerbaijan Grand Prix,2025
